"IdEmpresa";"IdOT";"Item";"Estado";"Venta";"Costo"
"1";"117";"2";"1";"45000";"38000"
"1";"117";"3";"1";"45000";"37000"
"1";"117";"4";"1";"45000";"38000"
"1";"117";"5";"1";"45000";"37000"
"1";"117";"6";"1";"45000";"38000"
"1";"118";"1";"1";"27000";"22000"
"1";"118";"2";"1";"27000";"22000"
"1";"118";"3";"1";"27000";"22000"
"1";"119";"1";"1";"27000";"22000"
"1";"120";"1";"1";"35500";"29000"
"1";"121";"1";"1";"12500";"6000"
"1";"122";"1";"1";"33000";"30000"
"1";"122";"2";"1";"33000";"30000"
"1";"122";"3";"1";"33000";"30000"
"1";"123";"1";"1";"33000";"30000"
"1";"123";"2";"1";"33000";"30000"
"1";"124";"1";"1";"12500";"9000"
"1";"125";"1";"1";"27000";"22000"
"1";"125";"2";"1";"27000";"22000"
"1";"125";"3";"1";"27000";"22000"
"1";"126";"1";"1";"41000";"35000"
"1";"126";"2";"1";"41000";"35000"
"1";"126";"3";"1";"41000";"36000"
"1";"126";"4";"1";"41000";"36000"
"1";"126";"5";"1";"41000";"36000"
"1";"126";"6";"1";"41000";"35000"
"1";"127";"1";"1";"19500";"16500"
"1";"127";"2";"1";"19500";"16500"
"1";"127";"3";"1";"19500";"16500"
"1";"128";"1";"1";"30000";"24000"
"1";"128";"2";"1";"30000";"24000"
"1";"129";"1";"1";"9000";"4000"
"1";"129";"2";"1";"9000";"4000"
"1";"130";"1";"1";"19500";"16500"
"1";"130";"2";"1";"19500";"16500"
"1";"130";"3";"1";"19500";"16500"
"1";"131";"1";"1";"45000";"38000"
"1";"132";"1";"1";"33000";"30000"
"1";"132";"2";"1";"33000";"30000"
"1";"132";"3";"1";"33000";"30000"
"1";"132";"4";"1";"33000";"30000"
"1";"132";"5";"1";"33000";"30000"
"1";"133";"1";"1";"33000";"30000"
"1";"134";"1";"1";"41000";"36000"
"1";"134";"2";"1";"41000";"36000"
"1";"134";"3";"1";"41000";"36000"
"1";"134";"4";"1";"41000";"36000"
"1";"135";"1";"1";"45000";"38000"
"1";"136";"1";"1";"27000";"22000"
"1";"137";"1";"1";"7500";"5000"
"1";"138";"1";"1";"10960";"6000"
"1";"139";"1";"1";"12500";"6000"
"1";"140";"1";"1";"15000";"6000"
"1";"141";"1";"1";"16500";"6000"
"1";"142";"1";"1";"19500";"16500"
"1";"142";"2";"1";"19500";"16500"
"1";"142";"3";"1";"19500";"16500"
"1";"142";"4";"1";"19500";"16500"
"1";"142";"5";"1";"19500";"16500"
"1";"142";"6";"1";"19500";"16500"
