idCorredor;IdEmpresa;IdOrigen;IdDestino;IdRetorno;OneWay;RoundTrip;TTA_Transporte;TTA_Cliente;IndTipo;Costo;Fecha;Activo;IdUsuario;equivalente;
66;1;PTO BS AS;LUJAN DE CUYO;PTO BS AS;1100;2200;12;14;1;75000;03/07/2020 00:00;1;2;\N;
67;1;PTO BS AS;CRESPO;PTO BS AS;440;880;6;7;1;32000;04/07/2020 00:00;1;2;\N;
68;1;PTO BS AS;MENDOZA(SAN MARTIN);PTO BS AS;1066;2140;10;12;1;80000;13/07/2020 00:00;1;2;\N;
69;1;PTO BS AS;RECREO;PTO BS AS;500;1000;7;8;1;34000;21/07/2020 00:00;1;2;\N;
70;1;PTO BS AS;CAPILLA DEL SEÑOR/CAMPANA;PTO BS AS;110;220;3;4;1;15000;24/07/2020 00:00;1;2;\N;
71;1;PTO BS AS;RIO SEGUNDO;PTO BS AS;645;1290;9;10;1;42000;10/08/2020 00:00;1;2;\N;
72;1;PTO BS AS;EL TREBOL ;PTO BS AS;460;920;7;8;1;42000;11/08/2020 00:00;1;2;\N;
73;1;PTO BS AS;EL TREBOL-SANTA FE;PTO BS AS;460;920;7;8;1;42000;11/08/2020 00:00;1;2;\N;
74;1;PTO BS AS;MORTEROS;PTO BS AS;640;1280;9;11;1;43000;21/08/2020 00:00;1;2;\N;
75;1;PTO BS AS;ARROYO CABRAL;PTO BS AS;580;1160;9;10;1;40000;31/08/2020 00:00;1;2;\N;
76;1;PTO BS AS;DOCK SUD;PTO BS AS;10;20;1;2;1;3500;14/09/2020 00:00;1;2;\N;
77;1;PTO BS AS;CAMPANA;PTO BS AS;90;180;3;4;1;13000;18/09/2020 00:00;1;2;\N;
78;1;PTO BS AS;TRENQUE LAUQUEN;;400;0;6;7;0;30000;24/09/2020 00:00;1;2;\N;
79;1;PTO BS AS;ESTEBAN ECHEVERRIA;PTO BS AS;45;90;2;3;1;7000;02/10/2020 00:00;1;2;\N;
80;1;PTO BS AS;SANTA FE;PTO BS AS;500;1000;7;8;1;40000;02/10/2020 00:00;1;2;\N;
